name,address,country,country_name,sector,facility_type,processing_type
Test - Lime Quartz Obsidian,"4551 32 ST SE, Calgary",CA,Canada,Leather,Agricultural,Recycling
Test - Mountain Birch Carnation,"3 SADDLEBROOK GD NE, Calgary",CA,Canada,Building Construction,Agricultural,Manufacturing
Test - Antelope Cedar Fog,"11145 CITYSCAPE DR NE, Calgary",CA,Canada,Technical and Scientific Activities,Agricultural,Logistics
Test - Hawthorn Taupe Emerald,"44 DOUGLASDALE CR SE, Calgary",CA,Canada,Renting,Residential,Logistics
Test - Ivy Cypress Rosewood,"276 MADDOCK WY NE, Calgary",CA,Canada,Maritime Transportation,Residential,Manufacturing
Test - Lime Hematite Tempest,"119 CEDARDALE PL SW, Calgary",CA,Canada,Telecommunications,Agricultural,Manufacturing
Test - Kiwi Hawk Bright,"123 SETONSTONE LD SE, Calgary",CA,Canada,Jewelry,Agricultural,Manufacturing
Test - Gray Chestnut Peak,"6208 TARALEA PA NE, Calgary",CA,Canada,Specialty Trade Contractors,Residential,Recycling
Test - Ravine Wind Swamp,"3340 BOULTON RD NW, Calgary",CA,Canada,Parts Dealers,Industrial,Recycling
Test - Pearl Verdant Ivory,"5804 66 AV NW, Calgary",CA,Canada,Technical and Scientific Activities,Agricultural,Warehousing
Test - Marigold Malachite Hill,"1512 19 AV NW, Calgary",CA,Canada,Home Accessories,Industrial,Recycling
Test - Fog Khaki Gorilla,"5711 LADBROOKE DR SW, Calgary",CA,Canada,Telecommunications,Agricultural,Manufacturing
Test - Wander Teak Sun,"123 CHINOOK DR SW, Calgary",CA,Canada,Wood Products,Commercial,Manufacturing
Test - Baobab Zephyr Indigo,"44 DALTON BA NW, Calgary",CA,Canada,Equipment,Agricultural,Recycling
Test - Wave Peach Stream,"6868 HUNTCHESTER RD NE, Calgary",CA,Canada,Energy Production & Utilities,Agricultural,Logistics
Test - Zephyr Chestnut Spruce,"57 ARBOUR SUMMIT CL NW, Calgary",CA,Canada,Entertainment,Commercial,Recycling
Test - Aspen Seal Mulberry,"60 COUGARSTONE CM SW, Calgary",CA,Canada,Warehousing,Commercial,Warehousing
Test - Amaranth Jasmine Jade,"4905 23 AV NW, Calgary",CA,Canada,Hunting,Agricultural,Logistics
Test - Gray Kale Narwhal,"51 SCENIC GLEN CR NW, Calgary",CA,Canada,Entertainment,Commercial,Logistics
Test - Twilight Topaz Jasper,"410 CITADEL HILLS CI NW, Calgary",CA,Canada,Commodities,Industrial,Manufacturing
Test - Jasper Copper Harsh,"66 DOUGLAS GLEN PA SE, Calgary",CA,Canada,Farming,Commercial,Manufacturing
Test - Burgundy Daisy Sunflower,"85 AUBURN GLEN GD SE, Calgary",CA,Canada,Building Construction,Commercial,Logistics
Test - Aurora Kiwi Harsh,"64 APPLEWOOD CO SE, Calgary",CA,Canada,Musical Instruments,Residential,Manufacturing
Test - Burgundy Delta Desert,"7419 25 ST SE, Calgary",CA,Canada,Food Industry,Residential,Warehousing
Test - Frost Ice Wisteria,"11420 COVENTRY BV NE, Calgary",CA,Canada,Wood Products,Residential,Warehousing
Test - Stone Hickory Reef,"172 CHAPARRAL CR SE, Calgary",CA,Canada,Research,Commercial,Recycling
Test - Acorn Kale Tempest,"93 VERANDA BV SW, Calgary",CA,Canada,Technical and Scientific Activities,Residential,Recycling
Test - Acacia Yew Frost,"20 FERNIE PL SE, Calgary",CA,Canada,Healthcare,Commercial,Logistics
Test - Eagle Leaf Sage,"6444 70 ST NW, Calgary",CA,Canada,International Affairs,Residential,Manufacturing
Test - Cactus Redwood Plum,"1518 21 AV NW, Calgary",CA,Canada,Finance,Commercial,Logistics
Test - Steppe Star Hickory,"1319 17A ST NW, Calgary",CA,Canada,Nondurable Goods,Industrial,Warehousing
Test - Glacier Hawthorn Taupe,"7253 CALIFORNIA BV NE, Calgary",CA,Canada,Professional Services,Residential,Warehousing
Test - Cougar Walnut Fawn,"1107 RADNOR AV NE, Calgary",CA,Canada,Parts Dealers,Agricultural,Logistics
Test - Sunflower Dogwood Azalea,"6316 ELBOW DR SW, Calgary",CA,Canada,Food Manufacturing,Residential,Logistics
Test - Earth Gray Opal,"87 APPLETREE CL SE, Calgary",CA,Canada,Telecommunications,Industrial,Manufacturing
Test - Kyanite Tulip Kiwi,"2829 28 ST SW, Calgary",CA,Canada,Toys,Commercial,Manufacturing
Test - Leaf Foxglove Azure,"52 BERKSHIRE CO NW, Calgary",CA,Canada,Automotive Parts,Agricultural,Manufacturing
Test - Teak Copper Inlet,"230 BRIDLECREEK GR SW, Calgary",CA,Canada,Allied Products,Agricultural,Manufacturing
Test - Khaki Narwhal Snow,"338 DOUGLASDALE PT SE, Calgary",CA,Canada,Electronic Product Manufacturing,Residential,Warehousing
Test - Moose Wisteria Magenta,"65 SAN DIEGO MR NE, Calgary",CA,Canada,Consumer Electronics,Commercial,Logistics
Test - Ivory Bright Honey,"12 ASCOT RI SW, Calgary",CA,Canada,Nondurable Goods,Industrial,Warehousing
Test - Emerald Azalea Estuary,"293 ROWMONT DR NW, Calgary",CA,Canada,Garden Tools,Residential,Warehousing
Test - Stone Aspen Foxglove,"102 SELKIRK DR SW, Calgary",CA,Canada,Nondurable Goods,Commercial,Recycling
Test - Thyme Oak Tangerine,"2038 26 ST SE, Calgary",CA,Canada,Computing Infrastructure,Agricultural,Logistics
Test - Orchid Bliss Fuchsia,"47 APPLETREE WY SE, Calgary",CA,Canada,Agriculture,Agricultural,Manufacturing
Test - Leaf Walnut Gale,"212 MT SELKIRK CL SE, Calgary",CA,Canada,Food Manufacturing,Industrial,Recycling
Test - Cedar Lapis Ridge,"1628 27 AV SW, Calgary",CA,Canada,Maritime Transportation,Commercial,Logistics
Test - Estuary Stream Woods,"1634 21 AV NW, Calgary",CA,Canada,Arts,Agricultural,Manufacturing
Test - Nettle Teak Beech,"142 PINEMEADOW RD NE, Calgary",CA,Canada,Technical and Scientific Activities,Residential,Recycling
Test - Lime Prairie Violet,"126 CORNERBROOK CR NE, Calgary",CA,Canada,Solar Energy,Residential,Recycling
Test - Lapis Palm Narwhal,"6611 LONGMOOR WY SW, Calgary",CA,Canada,Allied Products,Residential,Recycling
Test - Jade Gorilla Prairie,"16292 10 ST SW, Calgary",CA,Canada,Finance,Industrial,Manufacturing
Test - Honey Fawn Mist,"5204 22 AV NW, Calgary",CA,Canada,Food,Industrial,Logistics
Test - Stone Emerald Periwinkle,"3537 41 ST SW, Calgary",CA,Canada,Multi-Category,Agricultural,Warehousing
Test - Obsidian Bronze Zebra,"3415 25 AV SW, Calgary",CA,Canada,Renting,Residential,Manufacturing
Test - Kale Plum Gulf,"530 37 ST NW, Calgary",CA,Canada,Food Manufacturing,Residential,Logistics
Test - Foxglove Ursa Burgundy,"51 ARBOUR BUTTE RD NW, Calgary",CA,Canada,Machinery Manufacturing,Agricultural,Manufacturing
Test - Jasper Tulip Dogwood,"144 AUBURN BAY BV SE, Calgary",CA,Canada,Books,Agricultural,Warehousing
Test - Bramble Sassafras Gale,"955 ARCHWOOD RD SE, Calgary",CA,Canada,Research,Agricultural,Manufacturing
Test - Oak Swamp Aspen,"2268 MAHOGANY BV SE, Calgary",CA,Canada,Energy Production & Utilities,Residential,Warehousing
Test - Stone Carnation Birch,"215 YORKVILLE AV SW, Calgary",CA,Canada,Research,Commercial,Logistics
Test - Verdant Beige Amethyst,"1415 LEGACY CI SE, Calgary",CA,Canada,Coal,Residential,Warehousing
Test - Hemlock Thyme Rosewood,"31 CANTERVILLE BA SW, Calgary",CA,Canada,Warehousing,Industrial,Warehousing
Test - Bear Fire Alder,"4562 HAMPTONS WY NW, Calgary",CA,Canada,Waste Management,Agricultural,Manufacturing
Test - Sunflower Pass Ivy,"13 CHAPALINA RI SE, Calgary",CA,Canada,Oil & Gas,Industrial,Recycling
Test - Thyme Lime Citrine,"20 CAWDER DR NW, Calgary",CA,Canada,Rubber Products,Agricultural,Recycling
Test - Fern Gold Quartz,"2421 BOWNESS RD NW, Calgary",CA,Canada,Rubber Products,Industrial,Manufacturing
Test - Hazel Violet Swamp,"10 CRANSTON PL SE, Calgary",CA,Canada,Building Materials,Commercial,Logistics
Test - Aurora Pass Palm,"247 AUBURN SHORES LD SE, Calgary",CA,Canada,Material Production,Commercial,Manufacturing
Test - Saffron Antelope Magnolia,"3904 RUNDLEHORN DR NE, Calgary",CA,Canada,Recycling,Residential,Manufacturing
Test - Rosewood Bamboo Emerald,"3220 BRETON CL NW, Calgary",CA,Canada,Warehousing,Industrial,Warehousing
Test - Dandelion Beech Obsidian,"4440 78 AV SE, Calgary",CA,Canada,Energy Production & Utilities,Residential,Manufacturing
Test - Aloe Dune Ruby,"10815 MAPLEBEND DR SE, Calgary",CA,Canada,Apparel,Industrial,Recycling
Test - Juniper Pass Myrtle,"408 VARSITY ESTATES PL NW, Calgary",CA,Canada,Footwear,Industrial,Manufacturing
Test - Topaz Heliotrope Mistletoe,"435 53 AV SW, Calgary",CA,Canada,Medical Equipment & Services,Industrial,Recycling
Test - Valley Falcon Emerald,"956 CANNA CR SW, Calgary",CA,Canada,Parts Dealers,Residential,Recycling
Test - Hemlock Buff Lime,"27 MILLSIDE DR SW, Calgary",CA,Canada,Health,Agricultural,Manufacturing
Test - Dandelion Azalea Bliss,"1428 22 ST NW, Calgary",CA,Canada,Technical Services,Agricultural,Recycling
Test - Quarry Diamond Summit,"7631 16 ST SE, Calgary",CA,Canada,Renewable Energy,Agricultural,Manufacturing
Test - Yak Lagoon Pearl,"100 REDSTONE PZ NE, Calgary",CA,Canada,Computers,Industrial,Manufacturing
Test - Emerald Zinnia Chill,"6232 BLACKTHORN CR NE, Calgary",CA,Canada,Building Materials,Residential,Manufacturing
Test - Tamarind Obsidian Desert,"137 CHAPALA GV SE, Calgary",CA,Canada,Energy,Commercial,Logistics
Test - Pearl Quartz Malachite,"10204 TUSCANY HILLS WY NW, Calgary",CA,Canada,Personal Care Products,Commercial,Logistics
Test - Woods Mistletoe Bramble,"39 LAGUNA CI NE, Calgary",CA,Canada,Chemicals,Residential,Logistics
Test - Ursa Saffron Star,"122 AUTUMN CR SE, Calgary",CA,Canada,Aerospace,Commercial,Logistics
Test - Kyanite Savannah Wave,"1944 47 AV SW, Calgary",CA,Canada,Wholesale Trade,Agricultural,Recycling
Test - Zebra Alabaster Chill,"15 BEACONSFIELD CL NW, Calgary",CA,Canada,Accommodation,Commercial,Warehousing
Test - Acorn Fog Echo,"2103 72 AV SE, Calgary",CA,Canada,Hunting,Agricultural,Manufacturing
Test - Jungle Oasis Ravine,"96 CHAPARRAL CM SE, Calgary",CA,Canada,Maritime Transportation,Residential,Manufacturing
Test - Wisteria Estuary Poplar,"16288 10 ST SW, Calgary",CA,Canada,Aerospace,Industrial,Warehousing
Test - Amber Azure Navy,"84 PANORA VW NW, Calgary",CA,Canada,Sports Equipment,Industrial,Warehousing
Test - Magenta Amber Tamarind,"1308 KILLEARN AV SW, Calgary",CA,Canada,Entertainment,Commercial,Logistics
Test - Harsh Leaf Oak,"912 24 AV NW, Calgary",CA,Canada,Biotechnology,Commercial,Manufacturing
Test - Seal Baobab Zinnia,"909 CRESTRIDGE CM SW, Calgary",CA,Canada,Entertainment,Industrial,Manufacturing
Test - Harbor Chill Ridge,"59 CASTLEPARK RD NE, Calgary",CA,Canada,Material Production,Industrial,Manufacturing
Test - Saffron Navy Antelope,"221 SANDSTONE DR NW, Calgary",CA,Canada,Chemicals,Commercial,Warehousing
Test - Rain Dawn Grove,"7 MARTIN CROSSING CL NE, Calgary",CA,Canada,General Merchandise,Agricultural,Warehousing
Test - Yellow Sapphire Mulberry,"113 AUBURN SHORES LD SE, Calgary",CA,Canada,Solar Energy,Industrial,Warehousing
Test - Clover Tulip Wave,"191 SCENIC RIDGE CR NW, Calgary",CA,Canada,Multi-Category,Residential,Recycling
Test - Sky Kale Panda,"40 TUSCANY MEADOWS HE NW, Calgary",CA,Canada,Crop Production,Agricultural,Recycling
Test - Panda Beech Tempest,"2132 LINCOLN DR SW, Calgary",CA,Canada,Solar Energy,Industrial,Warehousing
Test - Clover Sun Aloe,"107 STRATHEARN RI SW, Calgary",CA,Canada,Manufacturing,Commercial,Warehousing
Test - Yellow Snow Prairie,"1035 75 AV SW, Calgary",CA,Canada,International Affairs,Commercial,Logistics
Test - Ultramarine Koala Mulberry,"178 MT LORETTE CL SE, Calgary",CA,Canada,Utilities,Commercial,Manufacturing
Test - Cypress Dawn Panda,"63 GRAFTON CR SW, Calgary",CA,Canada,Renewable Energy,Residential,Manufacturing
Test - Wisteria Zebra Valley,"162 ARBOUR LAKE WY NW, Calgary",CA,Canada,Renting,Commercial,Warehousing
Test - Ultramarine Glacier Harsh,"154 MT DOUGLAS PT SE, Calgary",CA,Canada,Civics,Agricultural,Logistics
Test - Harsh Lavender Fawn,"75 EDGEHILL CR NW, Calgary",CA,Canada,Hunting,Residential,Warehousing
Test - Hibiscus Cave Jaguar,"2819 11 AV SE, Calgary",CA,Canada,Hobby,Residential,Recycling
Test - Tornado Carnation Rainforest,"836 CANTRELL PL SW, Calgary",CA,Canada,International Affairs,Industrial,Logistics
Test - Horizon Lagoon Ginkgo,"637 BRITANNIA DR SW, Calgary",CA,Canada,Durable Goods,Industrial,Recycling
Test - Dandelion Rose Tundra,"2447 22 ST NW, Calgary",CA,Canada,Water Utilities,Industrial,Logistics
Test - Frost Rose Deer,"525 28 AV NE, Calgary",CA,Canada,Aerospace,Agricultural,Recycling
Test - Myrtle Hickory Juniper,"39R CRANLEIGH MR SE, Calgary",CA,Canada,Gas,Industrial,Manufacturing
Test - Hibiscus Mist Bronze,"54 SIENNA PARK GV SW, Calgary",CA,Canada,Building Construction,Residential,Recycling
Test - Opal Antelope Lilac,"936 43 ST SW, Calgary",CA,Canada,Garden Tools,Industrial,Warehousing
Test - Quartz Geranium Falcon,"49 SHAWFIELD WY SW, Calgary",CA,Canada,Transportation Equipment,Agricultural,Manufacturing
Test - Berry Hawk Narwhal,"4045 74 AV SE, Calgary",CA,Canada,Technology,Industrial,Logistics
Test - Zebra Peony Sassafras,"4711 MEMORIAL DR SE, Calgary",CA,Canada,Healthcare,Commercial,Logistics
Test - Magnolia Earth Coral,"107 EDFORTH CR NW, Calgary",CA,Canada,Consumer Electronics,Residential,Recycling
Test - Poppy Pine Hickory,"1743 VALLEYVIEW RD NE, Calgary",CA,Canada,Home Textiles,Commercial,Logistics
Test - Spruce Emerald Frost,"12 LEGACY REACH CO SE, Calgary",CA,Canada,Professional Services,Residential,Recycling
Test - Horizon Chestnut Sequoia,"8282 CENTRE ST NE, Calgary",CA,Canada,Educational Services,Commercial,Logistics
Test - Mulberry Ridge Magnolia,"3219 27 ST SW, Calgary",CA,Canada,Mining,Industrial,Manufacturing
Test - Sun Copper Carnation,"94 ARBOUR LAKE DR NW, Calgary",CA,Canada,Fishing,Commercial,Logistics
Test - Honey Dune Jungle,"5840 DALHOUSIE DR NW, Calgary",CA,Canada,Medical Equipment & Services,Agricultural,Logistics
Test - Willow Saffron Cloud,"2823 12 AV NW, Calgary",CA,Canada,Technology,Residential,Warehousing
Test - Savanna Aspen Ultramarine,"3033 27 ST SW, Calgary",CA,Canada,Electronic Product Manufacturing,Residential,Logistics
Test - Quartz Sky Topaz,"98 SAGE BLUFF GA NW, Calgary",CA,Canada,Food & Beverage,Industrial,Logistics
Test - Denim Flame Chestnut,"220 BEDFIELD CO NE, Calgary",CA,Canada,Warehousing,Commercial,Manufacturing
Test - Tide Ice Tulip,"216 WOODPARK BA SW, Calgary",CA,Canada,Pharmaceuticals,Agricultural,Recycling
Test - Sun Jade Snow,"12 WOODGREEN CR SW, Calgary",CA,Canada,Aerospace,Residential,Manufacturing
Test - Orchid Yellow Heliotrope,"455 25 AV NE, Calgary",CA,Canada,Appliances,Residential,Logistics
Test - Mustard Creek Ivory,"3607 BEAVER RD NW, Calgary",CA,Canada,Computing Infrastructure,Commercial,Logistics
Test - Fir Ruby Woods,"3111 60 ST NE, Calgary",CA,Canada,Consumer Products,Agricultural,Manufacturing
Test - Ursa Wind Plum,"2204 29 AV SW, Calgary",CA,Canada,Arts & Entertainment,Residential,Recycling
Test - Xylo Aloe Xylo,"127 SHAWGLEN RD SW, Calgary",CA,Canada,Plastics,Industrial,Recycling
Test - Mulberry Savannah Myrtle,"3931 19 AV SW, Calgary",CA,Canada,Beauty Products,Agricultural,Manufacturing
Test - Tempest Iris Fuchsia,"2028 BRIDLEMEADOWS MR SW, Calgary",CA,Canada,Food,Commercial,Logistics
Test - Acorn Hawthorn Topaz,"67 SUNCANYON PA SE, Calgary",CA,Canada,Beauty Products,Agricultural,Recycling
Test - Deer Isle Burgundy,"101 ARBOUR CLIFF CL NW, Calgary",CA,Canada,Energy Production & Utilities,Industrial,Warehousing
Test - Panda Reef Pond,"7132 CALIFORNIA BV NE, Calgary",CA,Canada,Nondurable Goods,Residential,Warehousing
Test - Koala Beech Creek,"35 EDENSTONE VW NW, Calgary",CA,Canada,Paper Products,Agricultural,Logistics
Test - Breeze Chestnut Cougar,"133 YORKVILLE BV SW, Calgary",CA,Canada,Medical Equipment & Services,Commercial,Logistics
Test - Harsh Wind Plum,"206 CRANARCH CL SE, Calgary",CA,Canada,Air Transportation,Commercial,Manufacturing
Test - Yak Harsh Echo,"1108 8 ST SE, Calgary",CA,Canada,Aquaculture,Residential,Recycling
Test - Palm Lilac Lilac,"320 SILVER BROOK WY NW, Calgary",CA,Canada,Apparel,Industrial,Manufacturing
Test - Hawthorn Valley Wander,"176 ROYAL OAK HT NW, Calgary",CA,Canada,Entertainment,Commercial,Recycling
Test - Elm Obsidian Dune,"5615 MAIDSTONE CR NE, Calgary",CA,Canada,Quarrying,Agricultural,Recycling
Test - Emerald Gulf Hemlock,"42 CHRISTIE ESTATE TC SW, Calgary",CA,Canada,Construction,Residential,Recycling
